"cell_id","comment","POS"
"irr-dep.neg.3.sg.neut",,"verb"
"irr-dep.neg.3.sg.mult",,"verb"
"irr-dep.neg.3.sg.dist",,"verb"
"irr-dep.neg.1.pl.neut",,"verb"
"irr-dep.neg.1.pl.mult",,"verb"
"irr-dep.neg.2.pl.neut",,"verb"
"irr-dep.neg.2.pl.mult",,"verb"
"irr-dep.neg.3.pl.neut",,"verb"
"irr-dep.neg.3.pl.mult",,"verb"
"irr-dep.neg.pass.1.sg.neut",,"verb"
"irr-dep.neg.pass.1.sg.mult",,"verb"
"irr-dep.neg.pass.1.sg.dist",,"verb"
"irr-dep.neg.pass.2.sg.neut",,"verb"
"irr-dep.neg.pass.2.sg.mult",,"verb"
"irr-dep.neg.pass.2.sg.dist",,"verb"
"irr-dep.neg.pass.3.sg.neut",,"verb"
"irr-dep.neg.pass.3.sg.mult",,"verb"
"irr-dep.neg.pass.3.sg.dist",,"verb"
"irr-dep.neg.pass.1.pl.neut",,"verb"
"irr-dep.neg.pass.1.pl.mult",,"verb"
"irr-dep.neg.pass.2.pl.neut",,"verb"
"irr-dep.neg.pass.2.pl.mult",,"verb"
"irr-dep.neg.pass.3.pl.neut",,"verb"
"irr-dep.neg.pass.3.pl.mult",,"verb"
"irr-indep.pos.1.sg.neut",,"verb"
"irr-indep.pos.1.sg.mult",,"verb"
"irr-indep.pos.1.sg.dist",,"verb"
"irr-indep.pos.2.sg.neut",,"verb"
"irr-indep.pos.2.sg.mult",,"verb"
"irr-indep.pos.2.sg.dist",,"verb"
"irr-indep.pos.3.sg.neut",,"verb"
"irr-indep.pos.3.sg.mult",,"verb"
"irr-indep.pos.3.sg.dist",,"verb"
"irr-indep.pos.1.pl.neut",,"verb"
"irr-indep.pos.1.pl.mult",,"verb"
"irr-indep.pos.2.pl.neut",,"verb"
"irr-indep.pos.2.pl.mult",,"verb"
"irr-indep.pos.3.pl.neut",,"verb"
"irr-indep.pos.3.pl.mult",,"verb"
"irr-indep.pos.pass.1.sg.neut",,"verb"
"irr-indep.pos.pass.1.sg.mult",,"verb"
"irr-indep.pos.pass.1.sg.dist",,"verb"
"irr-indep.pos.pass.2.sg.neut",,"verb"
"irr-indep.pos.pass.2.sg.mult",,"verb"
"irr-indep.pos.pass.2.sg.dist",,"verb"
"irr-indep.pos.pass.3.sg.neut",,"verb"
"irr-indep.pos.pass.3.sg.mult",,"verb"
"irr-indep.pos.pass.3.sg.dist",,"verb"
"irr-indep.pos.pass.1.pl.neut",,"verb"
"irr-indep.pos.pass.1.pl.mult",,"verb"
"irr-indep.pos.pass.2.pl.neut",,"verb"
"irr-indep.pos.pass.2.pl.mult",,"verb"
"irr-indep.pos.pass.3.pl.neut",,"verb"
"irr-indep.pos.pass.3.pl.mult",,"verb"
"irr-indep.neg.1.sg.neut",,"verb"
"irr-indep.neg.1.sg.mult",,"verb"
"irr-indep.neg.1.sg.dist",,"verb"
"irr-indep.neg.2.sg.neut",,"verb"
"irr-indep.neg.2.sg.mult",,"verb"
"irr-indep.neg.2.sg.dist",,"verb"
"irr-indep.neg.3.sg.neut",,"verb"
"irr-indep.neg.3.sg.mult",,"verb"
"irr-indep.neg.3.sg.dist",,"verb"
"irr-indep.neg.1.pl.neut",,"verb"
"irr-indep.neg.1.pl.mult",,"verb"
"irr-indep.neg.2.pl.neut",,"verb"
"irr-indep.neg.2.pl.mult",,"verb"
